asset,scenario,total_cost,present_value_cost,months_until_acquisition,opportunity_cost,monthly_cash_flow
vehicle,consortium_early,94400,45172.279357205756,12,-34827.720642794244,524.4444444444445
vehicle,consortium_mid,94400,45172.279357205756,60,-34827.720642794244,524.4444444444445
vehicle,consortium_late,94400,45172.279357205756,120,-34827.720642794244,524.4444444444445
vehicle,financing,125642.44218307325,100985.28420780659,1,20985.284207806588,2673.243450703686
vehicle,autonomous_savings,60570.48524442625,41617.35849888,84,-38382.64150112,721.0772052907887
housing,consortium_early,354000,169396.0475895216,12,-130603.9524104784,1966.6666666666667
housing,consortium_mid,354000,169396.0475895216,60,-130603.9524104784,1966.6666666666667
housing,consortium_late,354000,169396.0475895216,120,-130603.9524104784,1966.6666666666667
housing,financing,1226528.1650606564,353999.0448229769,1,53999.044822976924,3484.4550143768647
housing,autonomous_savings,227139.3196665984,156065.09437079995,84,-143934.90562920005,2704.039519840457
